ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange
DE0005545503;1U1;1&1 AG ;Telecommunication;Wireless Communication;Germany;XETRA + FRANKFURT 
DE0005118806;TGT;11 88 0 SOLUTIONS AG;Telecommunication;Telecommunication Services;Germany;XETRA + FRANKFURT 
DE0005167902;UUU;3U HOLDING AG;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE000A3E5C40;VSC;4SC AG;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
DE0005408116;ARL;AAREAL BANK AG;Banks;Mortgage Banks;Germany;XETRA + FRANKFURT 
DE000A3CNK42;YOU;ABOUT YOU Holding SE;Retail;Retail, Internet ;Germany;XETRA + FRANKFURT 
DE000A0KFKB3;A4Y;ACCENTRO REAL ESTATE AG  O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
NL0000238145;APM;AD PEPPER MEDIA   EO 0,05;Media;Advertising;Netherlands;XETRA + FRANKFURT 
DE000A0Z23Q5;ADN1;ADESSO SE  INH O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A1EWWW0;ADS;ADIDAS AG NA O.N.;Consumer;Clothing & Footwear;Germany;XETRA + FRANKFURT 
LU1250154413;ADJ;ADLER GROUP S.A.;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT 
DE0005008007;ADL;ADLER REAL ESTATE AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0005103006;ADV;ADVA OPTICAL NETWORKING SE  O.N.;Technology;Communications Technology;Germany;XETRA + FRANKFURT 
NL0000235190;AIR;AIRBUS;Industrial ;Heavy Machinery;Netherlands;XETRA + FRANKFURT 
DE000A0WMPJ6;AIXA;AIXTRON SE NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE0005110001;A1OS;ALL FOR ONE GROUP NA O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A0DPRE6;LNSX;Allane SE;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE0008404005;ALV;ALLIANZ SE NA O.N.;Insurance;Insurance;Germany;XETRA + FRANKFURT 
BG1100003166�;A4L;ALLTERCO JSCo,;Technology;Communications Technology;Bulgaria;FRANKFURT
DE000A0LD2U1;AOX;ALSTRIA OFFICE REIT-AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A2YNT30;ACT;ALZCHEM GROUP AG INH O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE0005093108;AAD;AMADEUS FIRE AG;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
LU1673108939;AT1;AROUNDTOWN EO-,01;Financial Services;Real Estate;Cyprus;XETRA + FRANKFURT 
DE000A1K0375;ART;ARTNET AG NA O.N.;Retail ;Retail, Internet ;Germany;XETRA + FRANKFURT 
DE0005104400;AOF;ATOSS SOFTWARE AG;Software;Software;Germany;XETRA + FRANKFURT 
DE000A2DAM03;AAG;AUMANN AG  INH O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE0006766504;NDA;AURUBIS AG;Basic Resources;Steel & Other Metals;Germany;XETRA + FRANKFURT 
