Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
ABCAM PLC;AIMX;London Stock Exchange - AIM;GB00B6774699;ABCl;GBX;GB;EQ;27.251.617;35.781.200;30. Sep 19;;N
AFC ENERGY PLC;AIMX;London Stock Exchange - AIM;GB00B18S7B29;AFCl;GBX;GB;EQ;82.497;2.683.590;30. Sep 19;;N
AMUR MINERALS CORP;AIMX;London Stock Exchange - AIM;VGG042401007;AMCl;GBX;GB;EQ;76.315;2.683.590;30. Sep 19;;N
AMERISUR RESOURCES PLC;AIMX;London Stock Exchange - AIM;GB0032087826;AMERl;GBX;GB;EQ;853.245;8.945.300;30. Sep 19;;N
ADVANCED MEDICAL SOLUTIONS;AIMX;London Stock Exchange - AIM;GB0004536594;AMSl;GBX;GB;EQ;1.597.448;17.890.600;30. Sep 19;;N
ALLIANCE PHARMA PLC;AIMX;London Stock Exchange - AIM;GB0031030819;APHl;GBX;GB;EQ;1.750.000;17.890.600;30. Sep 19;;N
ASOS PLC;AIMX;London Stock Exchange - AIM;GB0030927254;ASCl;GBX;GB;EQ;114.639.169;58.144.450;30. Sep 19;;N
ACCSYS TECHNOLOGIES PLC;AIMX;London Stock Exchange - AIM;GB00BQQFX454;AXSl;GBX;GB;EQ;224.046;5.367.180;30. Sep 19;;N
BOWLEVEN PLC;AIMX;London Stock Exchange - AIM;GB00B04PYL99;BLVNl;GBX;GB;EQ;371.235;5.367.180;30. Sep 19;;N
BOOHOO GROUP PLC;AIMX;London Stock Exchange - AIM;JE00BG6L7297;BOOl;GBX;GB;EQ;62.647.027;44.726.500;30. Sep 19;;N
BROOKS MACDONALD GROUP PLC;AIMX;London Stock Exchange - AIM;GB00B067N833;BRKl;GBX;GB;EQ;337.628;5.367.180;30. Sep 19;;N
