Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
LYX  IBEX35 DX2 SHORT ETF;XMAD;Bolsa de Madrid;FR0011036268;2INVEe;EUR;ES;TF;2.412.471;1.000.000;30. Sep 19;;N
ATRESMEDIA CORP DE MEDIOS DE;XMAD;Bolsa de Madrid;ES0109427734;A3Me;EUR;ES;EQ;11.406.051;300.000;30. Sep 19;;N
ABENGOA SA -CL A;XMAD;Bolsa de Madrid;ES0105200416;ABGe;EUR;ES;EQ;520.293;100.000;30. Sep 19;;N
ABENGOA SA- B SHARES;XMAD;Bolsa de Madrid;ES0105200002;ABGPe;EUR;ES;EQ;1.031.794;200.000;30. Sep 19;;N
ACS ACTIVIDADES CONS Y SERV;XMAD;Bolsa de Madrid;ES0167050915;ACSe;EUR;ES;EQ;124.333.590;650.000;30. Sep 19;;N
ACERINOX SA;XMAD;Bolsa de Madrid;ES0132105018;ACXe;EUR;ES;EQ;33.626.413;400.000;30. Sep 19;;N
ADL BIONATUR SOLUTIONS SA;XMAD;Bolsa de Madrid;ES0184980003;ADLe;EUR;ES;EQ;24.464;15.000;30. Sep 19;;N
AUDAX RENOVABLES SA;XMAD;Bolsa de Madrid;ES0136463017;ADXe;EUR;ES;EQ;4.233.312;200.000;30. Sep 19;;N
ADOLFO DOMINGUEZ;XMAD;Bolsa de Madrid;ES0106000013;ADZe;EUR;ES;EQ;80.236;30.000;30. Sep 19;;N
AENA SME SA;XMAD;Bolsa de Madrid;ES0105046009;AENAe;EUR;ES;EQ;171.273.250;650.000;30. Sep 19;;N
AGILE CONTENT SA;XMAD;Bolsa de Madrid;ES0105102000;AGILe;EUR;ES;EQ;14.939;15.000;30. Sep 19;;N
AIRTIFICIAL INTELLIGENCE STR SA;XMAD;Bolsa de Madrid;ES0152768612;AIe;EUR;ES;EQ;403.169;60.000;30. Sep 19;;N
AIRBUS SE;XMAD;Bolsa de Madrid;NL0000235190;AIRe;EUR;ES;EQ;763.542.435;650.000;30. Sep 19;;N
CORPORACION FINANCIERA ALBA;XMAD;Bolsa de Madrid;ES0117160111;ALBe;EUR;ES;EQ;1.678.286;200.000;30. Sep 19;;N
ALMIRALL SA;XMAD;Bolsa de Madrid;ES0157097017;ALMe;EUR;ES;EQ;12.448.129;300.000;30. Sep 19;;N
ALANTRA PARTNERS SA;XMAD;Bolsa de Madrid;ES0126501131;ALNTe;EUR;ES;EQ;179.332;60.000;30. Sep 19;;N
AMPER SA;XMAD;Bolsa de Madrid;ES0109260531;AMPe;EUR;ES;EQ;2.336.996;200.000;30. Sep 19;;N
AMADEUS IT GROUP SA;XMAD;Bolsa de Madrid;ES0109067019;AMSe;EUR;ES;EQ;302.627.206;650.000;30. Sep 19;;N
ACCIONA SA;XMAD;Bolsa de Madrid;ES0125220311;ANAe;EUR;ES;EQ;30.379.846;400.000;30. Sep 19;;N
APERAM;XMAD;Bolsa de Madrid;LU0569974404;APAMe;EUR;ES;EQ;36.614.876;400.000;30. Sep 19;;N
