"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:9437","NTT DOCOMO, INC","9437","10/22/1998","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3165650007","6129277","12,527,084,765,184","JPY","Analyze"
"JT:8306","Mitsubishi UFJ Financial Group, Inc","8306","04/02/2001","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3902900004","6335171","9,105,295,015,936","JPY","Analyze"
"JT:8035","Tokyo Electron Limited","8035","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3571400005","6895675","9,082,681,425,920","JPY","Analyze"
"JT:6098","Recruit Holdings Co., Ltd","6098","10/16/2014","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3970300004","BQRRZ00","7,856,798,040,064","JPY","Analyze"
"JT:8058","Mitsubishi Corporation","8058","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3898400001","6596785","6,431,677,349,888","JPY","Analyze"
"JT:4519","Chugai Pharmaceutical Co., Ltd","4519","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3519400000","6196408","5,801,160,736,768","JPY","Analyze"
"JT:4502","Takeda Pharmaceutical Company Limited","4502","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3463000004","6870445","5,768,280,539,136","JPY","Analyze"
"JT:8001","ITOCHU Corporation","8001","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3143600009","6467803","5,349,484,003,328","JPY","Analyze"
"JT:8316","Sumitomo Mitsui Financial Group, Inc","8316","12/02/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3890350006","6563024","5,323,010,605,056","JPY","Analyze"
"JT:8031","Mitsui & Co., Ltd","8031","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3893600001","6597302","5,011,853,017,088","JPY","Analyze"
"JT:3382","Seven & i Holdings Co., Ltd","3382","09/01/2005","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3422950000","B0FS5D6","4,606,438,932,480","JPY","Analyze"
"JT:8766","Tokio Marine Holdings, Inc","8766","04/01/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3910660004","6513126","4,569,623,953,408","JPY","Analyze"
"JT:6273","SMC Corporation","6273","12/24/1987","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3162600005","6763965","4,319,647,105,024","JPY","Analyze"
"JT:8411","Mizuho Financial Group, Inc","8411","03/12/2003","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3885780001","6591014","3,815,825,211,392","JPY","Analyze"
"JT:4503","Astellas Pharma Inc","4503","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3942400007","6985383","3,582,720,475,136","JPY","Analyze"
"JT:9022","Central Japan Railway Company","9022","10/08/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3566800003","6183552","3,264,530,350,080","JPY","Analyze"
"JT:4543","Terumo Corporation","4543","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3546800008","6885074","3,049,756,295,168","JPY","Analyze"
"JT:9613","NTT DATA Corporation","9613","04/26/1995","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3165700000","6125639","2,809,207,455,744","JPY","Analyze"
"JT:8591","ORIX Corporation","8591","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3200450009","6661144","2,767,258,386,432","JPY","Analyze"
"JT:8113","Unicharm Corporation","8113","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3951600000","6911485","2,629,980,389,376","JPY","Analyze"
"JT:2413","M3, Inc","2413","09/16/2004","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3435750009","B02K2M3","2,615,647,666,176","JPY","Analyze"
"JT:8750","Dai-ichi Life Holdings, Inc","8750","04/01/2010","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3476480003","B601QS4","2,549,304,524,800","JPY","Analyze"
"JT:8801","Mitsui Fudosan Co., Ltd","8801","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3893200000","6597603","2,516,937,342,976","JPY","Analyze"
"JT:9020","East Japan Railway Company","9020","10/26/1993","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3783600004","6298542","2,508,645,990,400","JPY","Analyze"
"JT:8802","Mitsubishi Estate Co., Ltd","8802","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3899600005","6596729","2,418,428,870,656","JPY","Analyze"
"JT:4452","Kao Corporation","4452","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3205800000","6483809","2,351,881,256,960","JPY","Analyze"
